	|||		|||	
the other what	|||	det;art|the qn|other pro;int|what	|||	the other what
why did it think that	|||	adv;int|why mod|do-PAST pro;per|it v|think pro;dem|that	|||	why did it think that
no she do ~not want to listen to a record	|||	co|no pro;sub|she mod|do neg|~not v|want inf|to v|listen prep|to det;art|a n|record	|||	no she doesn 't want to listen to a record
what ~be you digging for	|||	pro;int|what aux|~be pro;per|you part|dig-PRESP prep|for	|||	what 're you digging for
because it do ~not have a motor	|||	conj|because pro;per|it mod|do neg|~not v|have det;art|a n|motor	|||	because it doesn 't have a motor
well you give him the pen	|||	co|well pro;per|you v|give pro;obj|him det;art|the n|pen	|||	well you give him the pen
yes he will	|||	co|yes pro;sub|he mod|will	|||	yes he will
what ~be you going to do with them	|||	pro;int|what aux|~be pro;per|you part|go-PRESP inf|to v|do prep|with pro;obj|them	|||	what 're you going to do with them
you can wash it off	|||	pro;per|you mod|can v|wash pro;per|it adv|off	|||	you can wash it off
who made the hats	|||	pro;rel|who v|make-PAST det;art|the n|hat-PL	|||	who made the hats
what about all those things in that basket	|||	pro;int|what prep|about qn|all pro;dem|those n|thing-PL prep|in pro;dem|that n|basket	|||	what about all those things in that basket
the monkey can ~not skip rope with his tail	|||	det;art|the n|monkey mod|can neg|~not n|skip n|rope prep|with det;poss|his n|tail	|||	the monkey can 't skip rope with his tail
if he ~be not careful yes they will stick him	|||	conj|if pro;sub|he aux|~be neg|not co|careful co|yes pro;sub|they mod|will v|stick pro;obj|him	|||	if he 's not careful yes they will stick him
can you say climb the you big ladder	|||	mod|can pro;per|you v|say v|climb det;art|the pro;per|you adj|big n|ladder	|||	can you say climb the you big ladder
oh it ~be supper	|||	co|oh pro;per|it cop|~be n|supper	|||	oh it 's supper
what ~be you going to cook for supper tonight	|||	pro;int|what aux|~be pro;per|you part|go-PRESP prep|to n|cook prep|for n|supper adv;tem|tonight	|||	what 're you going to cook for supper tonight
okay there	|||	co|okay adv|there	|||	okay there
if you want to drink it	|||	conj|if pro;per|you v|want inf|to v|drink pro;per|it	|||	if you want to drink it
why is Bozo going to eat with the chickens	|||	adv;int|why cop|be-3S n;prop|Bozo part|go-PRESP inf|to v|eat prep|with det;art|the n|chicken-PL	|||	why is Bozo going to eat with the chickens
this is just a small one	|||	pro;dem|this cop|be-3S adv|just det;art|a adj|small pro;indef|one	|||	this is just a small one
let ~us see	|||	v;obj|let pro;obj|~us v|see	|||	let 's see
here Paulie	|||	adv|here n;prop|Paulie	|||	here Paulie
a church	|||	det;art|a n|church	|||	a church
Bobby sat down on a little	|||	n;prop|Bobby v|sit-PAST adv|down prep|on det;art|a adj|little	|||	Bobby sat down on a little
you think you ~will keep it for your next road line	|||	pro;per|you v|think pro;per|you mod|~will v|keep pro;per|it prep|for det;poss|your adj|next n|road n|line	|||	you think you 'll keep it for your next road line
Adam you put it through the paper	|||	n;prop|Adam pro;per|you v|put-ZERO pro;per|it prep|through det;art|the n|paper	|||	Adam you put it through the paper
on your napkin	|||	prep|on det;poss|your n|napkin	|||	on your napkin
where is snow mitten	|||	adv;int|where aux|be-3S n|snow n|mitten	|||	where is snow mitten
especially airplanes because they do ~not have any roads to go on	|||	adv|especial-dadj n|airplane-PL conj|because pro;sub|they mod|do neg|~not v|have qn|any n|road-PL inf|to v|go adv|on	|||	especially airplanes because they don 't have any roads to go on
what kind d you know	|||	pro;int|what n|kind v|do pro;per|you v|know	|||	what kind d you know
no that side be ~not broken	|||	qn|no pro;dem|that n|side cop|be neg|~not part|break-PASTP	|||	no that side isn 't broken
pull that	|||	v|pull pro;dem|that	|||	pull that
over in the fish house	|||	adv|over prep|in det;art|the n|fish n|house	|||	over in the fish house
there ~be a punch in the bag	|||	pro;exist|there cop|~be det;art|a n|punch prep|in det;art|the n|bag	|||	there 's a punch in the bag
that ~be a bath+tub	|||	pro;dem|that cop|~be det;art|a n|bath+tub	|||	that 's a bath
shoe store	|||	n|shoe n|store	|||	shoe store
you dropped something over there	|||	pro;per|you v|drop-PAST pro;indef|something adv|over adv|there	|||	you dropped something over there
the folder	|||	det;art|the n|folder	|||	the folder
now which one would you like	|||	adv|now pro;rel|which pro;indef|one mod|will-COND pro;per|you co|like	|||	now which one would you like
what happens at eight thirty	|||	pro;int|what v|happen-3S prep|at det;num|eight det;num|thirty	|||	what happens at eight thirty
here we are at camp	|||	adv|here pro;sub|we cop|be-PRES prep|at n|camp	|||	here we are at camp
no Picasso	|||	co|no n;prop|Picasso	|||	no Picasso
now you can give them to Robin and he can give them to his mother and we ~will both have flowers	|||	adv|now pro;per|you mod|can v|give pro;obj|them prep|to n;prop|Robin coord|and pro;sub|he mod|can v|give pro;obj|them prep|to det;poss|his n|mother coord|and pro;sub|we mod|~will post|both v|have n|flower-PL	|||	now you can give them to Robin and he can give them to his mother and we 'll both have flowers
I ~have never seen a pony that looked like that	|||	pro;sub|I aux|~have adv|never part|see-PASTP det;art|a n|pony pro;rel|that cop|look-PAST prep|like pro;dem|that	|||	I 've never seen a pony that looked like that
you take that in and then come back for the napkins	|||	pro;per|you v|take pro;dem|that adv|in coord|and adv;tem|then v|come adj|back prep|for det;art|the n|napkin-PL	|||	you take that in and then come back for the napkins
look in the bag	|||	cop|look prep|in det;art|the n|bag	|||	look in the bag
it does look like part of an apple but it ~be not	|||	pro;per|it mod|do-3S cop|look conj|like n|part prep|of det;art|a n|apple conj|but pro;per|it cop|~be neg|not	|||	it does look like part of an apple but it 's not
on the bottom of the church	|||	prep|on det;art|the n|bottom prep|of det;art|the n|church	|||	on the bottom of the church
I ~be going to get some big moving van	|||	pro;sub|I aux|~be part|go-PRESP inf|to v|get qn|some adj|big n;gerund|move-PRESP n|van	|||	I 'm going to get some big moving van
that is a c	|||	pro;dem|that cop|be-3S det;art|a n;let|c	|||	that is a c
well what is it	|||	co|well pro;int|what aux|be-3S pro;per|it	|||	well what is it
you name it	|||	pro;per|you v|name pro;per|it	|||	you name it
oh you opened it do ~not you	|||	co|oh pro;per|you v|open-PAST pro;per|it mod|do neg|~not pro;per|you	|||	oh you opened it didn 't you
what color is this one	|||	pro;int|what n|color cop|be-3S pro;dem|this pro;indef|one	|||	what color is this one
I do ~not know that airplanes had a horn	|||	pro;sub|I mod|do neg|~not v|know pro;dem|that n|airplane-PL v|have-PAST det;art|a n|horn	|||	I didn 't know that airplanes had a horn
oh Flintstones	|||	co|oh n;prop|Flintstones	|||	oh Flintstones
yes it is upside down	|||	co|yes pro;per|it cop|be-3S adv|upside adv|down	|||	yes it is upside down
well I guess if they have_to pick some people up they put the people in there	|||	n|well pro;sub|I n|guess conj|if pro;sub|they mod;aux|have_to v|pick qn|some n|person-PL adv|up pro;sub|they v|put-ZERO det;art|the n|person-PL prep|in adv|there	|||	well I guess if they have_to pick some people up they put the people in there
I should think so	|||	pro;sub|I mod|should v|think co|so	|||	I should think so
let Paul have that one with the light	|||	v|let-ZERO n;prop|Paul v|have pro;dem|that pro;indef|one prep|with det;art|the n|light	|||	let Paul have that one with the light
what did the little boy see	|||	det;int|what v|do-PAST det;art|the adj|little n|boy v|see	|||	what did the little boy see
yes I ~will bowl with you	|||	co|yes pro;sub|I mod|~will v|bowl prep|with pro;per|you	|||	yes I 'll bowl with you
yes that ~be the one for a big boy like you	|||	co|yes pro;dem|that cop|~be det;art|the pro;indef|one prep|for det;art|a adj|big n|boy prep|like pro;per|you	|||	yes that 's the one for a big boy like you
roping me	|||	part|rope-PRESP pro;obj|me	|||	roping me
no d you know where some scissors are	|||	co|no v|do pro;per|you v|know adv;int|where qn|some n|scissors cop|be-PRES	|||	no d you know where some scissors are
Agricultural and Technical College	|||	n;prop|Agricultural coord|and n;prop|Technical n;prop|College	|||	Agricultural and Technical College
that hand	|||	pro;dem|that n|hand	|||	that hand
you will ~not let him play with the puzzle	|||	pro;per|you mod|will neg|~not v|let-ZERO pro;obj|him n|play prep|with det;art|the n|puzzle	|||	you wouldn 't let him play with the puzzle
you need a string or a shoelace remember	|||	pro;per|you v|need det;art|a n|string coord|or det;art|a n|shoe+lace v|remember	|||	you need a string or a shoelace remember
you like it	|||	pro;per|you v|like pro;per|it	|||	you like it
what happened in the kitchen	|||	pro;int|what v|happen-PAST prep|in det;art|the n|kitchen	|||	what happened in the kitchen
to work	|||	inf|to v|work	|||	to work
you could feed twenty children with all those noodles	|||	pro;per|you mod|could v|feed det;num|twenty n|child-PL prep|with qn|all pro;dem|those n|noodle-PL	|||	you could feed twenty children with all those noodles
could you open the door please	|||	mod|could pro;per|you v|open det;art|the n|door co|please	|||	could you open the door please
oh you ~be a baby	|||	co|oh pro;per|you aux|~be det;art|a n|baby	|||	oh you 're a baby
where are his feet	|||	adv;int|where aux|be-PRES det;poss|his n|foot-PL	|||	where are his feet
Paul stand up	|||	n;prop|Paul v|stand adv|up	|||	Paul stand up
because it ~be a	|||	conj|because pro;per|it cop|~be det;art|a	|||	because it 's a
how can it be an old hole when you just made it	|||	adv;int|how mod|can pro;per|it cop|be det;art|a adj|old n|hole conj|when pro;per|you adv|just v|make-PAST pro;per|it	|||	how can it be an old hole when you just made it
I do ~not know why the black should be on the yellow	|||	pro;sub|I mod|do neg|~not v|know adv;int|why det;art|the n|black mod|should cop|be prep|on det;art|the n|yellow	|||	I don 't know why the black should be on the yellow
it has a tip	|||	pro;per|it aux|have-3S det;art|a n|tip	|||	it has a tip
put them on the table	|||	v|put-ZERO pro;obj|them prep|on det;art|the n|table	|||	put them on the table
the airplane needs to know what direction it ~be going in	|||	det;art|the n|airplane v|need-3S inf|to v|know pro;int|what n|direction pro;per|it aux|~be part|go-PRESP adv|in	|||	the airplane needs to know what direction it 's going in
what does a windmill do	|||	pro;int|what v|do-3S det;art|a n|windmill v|do	|||	what does a windmill do
until this writes your name	|||	conj|until det;dem|this v|write-3S det;poss|your n|name	|||	until this writes your name
so what kind of ball is that	|||	adv|so pro;int|what n|kind prep|of n|ball cop|be-3S pro;dem|that	|||	so what kind of ball is that
no you can ~not take the nose off	|||	co|no pro;per|you mod|can neg|~not v|take det;art|the n|nose adv|off	|||	no you can 't take the nose off
poor dollie	|||	adj|poor n|doll-DIM	|||	poor dollie
maybe you better go find out	|||	adv|maybe pro;per|you adj|good-CP v|go v|find adv|out	|||	maybe you better go find out
how many ends does it have	|||	adv;int|how qn|many n|end-PL mod|do-3S pro;per|it v|have	|||	how many ends does it have
Joshua throws like a penguin	|||	n;prop|Joshua v|throw-3S prep|like det;art|a n|penguin	|||	Joshua throws like a penguin
oh that ~be nice be ~not it	|||	co|oh pro;dem|that cop|~be adj|nice cop|be neg|~not pro;per|it	|||	oh that 's nice isn 't it
it ~be a tape recorder	|||	pro;per|it cop|~be det;art|a n|tape n|record-dv	|||	it 's a tape recorder
oh they did	|||	co|oh pro;sub|they v|do-PAST	|||	oh they did
do you see these words	|||	mod|do pro;per|you v|see pro;dem|these n|word-PL	|||	do you see these words
well nobody	|||	co|well pro;indef|nobody	|||	well nobody
football is when they kick the ball	|||	n|foot+ball cop|be-3S conj|when pro;sub|they v|kick det;art|the n|ball	|||	football is when they kick the ball
I do ~not know what time fourteen o'clock is	|||	pro;sub|I mod|do neg|~not v|know pro;int|what n|time det;num|fourteen n|o'clock cop|be-3S	|||	I don 't know what time fourteen o'clock is
it ~be plastic	|||	pro;per|it cop|~be adj|plastic	|||	it 's plastic
skipping like a monkey	|||	part|skip-PRESP prep|like det;art|a n|monkey	|||	skipping like a monkey
until you wash it off	|||	conj|until pro;per|you v|wash pro;per|it adv|off	|||	until you wash it off
he ~be driving the truck	|||	pro;sub|he aux|~be part|drive-PRESP det;art|the n|truck	|||	he 's driving the truck
are you sittin on the eraser	|||	cop|be-PRES pro;per|you part|sit-PRESP prep|on det;art|the n|erase-dv	|||	are you sittin on the eraser
you help it by turning the propeller	|||	pro;per|you v|help pro;per|it adv|by part|turn-PRESP det;art|the n|propel-dv	|||	you help it by turning the propeller
oh that ~be the light	|||	co|oh pro;dem|that cop|~be det;art|the n|light	|||	oh that 's the light
no they do ~not fly I do ~not think	|||	co|no pro;sub|they mod|do neg|~not v|fly pro;sub|I mod|do neg|~not v|think	|||	no they don 't fly I don 't think
you ~be go+to-PRESP ~to pull a trick on me	|||	pro;per|you aux|~be part|go+to-PRESP inf|~to v|pull det;art|a n|trick prep|on pro;obj|me	|||	you 're gonna  pull a trick on me
oh right here	|||	co|oh adv|right adv|here	|||	oh right here
oh dear yourself	|||	co|oh co|dear pro;refl|yourself	|||	oh dear yourself
no but it do ~not fit	|||	co|no conj|but pro;per|it mod|do neg|~not v|fit-ZERO	|||	no but it doesn 't fit
how many balls can you find	|||	adv;int|how qn|many n|ball-PL mod|can pro;per|you v|find	|||	how many balls can you find
good morning who	|||	adj|good n|morning pro;rel|who	|||	good morning who
that ~be a hippopotamus	|||	pro;dem|that cop|~be det;art|a n|hippopotamus	|||	that 's a hippopotamus
you fell down where	|||	pro;per|you v|fall-PAST adv|down pro;rel|where	|||	you fell down where
you do ~not see the table	|||	pro;per|you mod|do neg|~not v|see det;art|the n|table	|||	you don 't see the table
no Adam that ~be not nice	|||	co|no n;prop|Adam pro;dem|that cop|~be neg|not adj|nice	|||	no Adam that 's not nice
and a_lot_of little pieces	|||	coord|and qn|a_lot_of adj|little n|piece-PL	|||	and a_lot_of little pieces
they ~have got what	|||	pro;sub|they aux|~have part|get-PASTP pro;int|what	|||	they 've got what
Paul Douglas	|||	n;prop|Paul n;prop|Douglas	|||	Paul Douglas
he ~be sleeping down in his bed	|||	pro;sub|he aux|~be part|sleep-PRESP adv|down prep|in det;poss|his n|bed	|||	he 's sleeping down in his bed
where did you see a giraffe last night	|||	adv;int|where mod|do-PAST pro;per|you v|see det;art|a n|giraffe adv|last n|night	|||	where did you see a giraffe last night
you do ~not remember	|||	pro;per|you mod|do neg|~not v|remember	|||	you don 't remember
that ~be a dragon	|||	pro;dem|that cop|~be det;art|a n|dragon	|||	that 's a dragon
I thought you said it was in there	|||	pro;sub|I v|think-PAST pro;per|you v|say-PAST pro;per|it cop|be-PAST prep|in adv|there	|||	I thought you said it was in there
wipe it off	|||	v|wipe pro;per|it adv|off	|||	wipe it off
he ~be learning be ~not he	|||	pro;sub|he aux|~be part|learn-PRESP cop|be neg|~not pro;sub|he	|||	he 's learning isn 't he
open it again	|||	v|open pro;per|it adv|again	|||	open it again
this is my refrigerator	|||	pro;dem|this cop|be-3S det;poss|my n|refrigerator	|||	this is my refrigerator
Adam do ~not you have a brother	|||	n;prop|Adam mod|do neg|~not pro;per|you v|have det;art|a n|brother	|||	Adam don 't you have a brother
